"tip","ass_bid","ass_tid"
"obj","1068","767"
"obj","1068","606"
"obj","1068","65"
"obj","1068","439"
"obj","1068","1097"
"cnt","1069","6"
"cnt","1070","6"
"cnt","1070","11"
"cnt","1070","14"
"cnt","1070","13"
"cnt","1070","27"
"cnt","1071","6"
"cnt","1071","11"
"cnt","1071","14"
"cnt","1071","13"
"cnt","1071","27"
"obj","1071","869"
"obj","1071","103"
"obj","1071","104"
"obj","1071","105"
"cnt","1072","13"
"cnt","1072","14"
"cnt","1072","11"
"cnt","1072","6"
"cnt","1073","13"
"cnt","1073","14"
"cnt","1073","11"
"cnt","1073","6"
"cnt","1074","27"
"cnt","1074","13"
"cnt","1074","11"
"cnt","1074","6"
"cnt","1075","27"
"cnt","1075","13"
"cnt","1075","14"
"cnt","1075","11"
"cnt","1075","6"
"cnt","1077","6"
"cnt","1079","27"
"cnt","1079","6"
"cnt","1079","11"
"cnt","1079","14"
"cnt","1079","13"
"cnt","1080","27"
"cnt","1080","13"
"cnt","1080","11"
"cnt","1080","6"
"cnt","1081","13"
"cnt","1081","11"
"cnt","1081","6"
"cnt","1082","6"
"cnt","1082","11"
"cnt","1082","14"
"cnt","1082","13"
"cnt","1083","6"
"cnt","1083","11"
"cnt","1083","14"
"cnt","1083","13"
"cnt","1083","27"
"cnt","1084","5"
"cnt","1084","12"
"cnt","1084","26"
"cnt","1084","27"
"cnt","1085","27"
"cnt","1085","13"
"cnt","1085","11"
"cnt","1085","6"
"cnt","1086","27"
"cnt","1086","13"
"cnt","1086","14"
"cnt","1086","11"
"cnt","1086","6"
"obj","1086","462"
"cnt","1213","13"
"cnt","1213","14"
"cnt","1213","11"
"cnt","1084","6"
"cnt","1084","11"
"cnt","1088","27"
"cnt","1088","13"
"cnt","1088","14"
"cnt","1088","11"
"cnt","1088","6"
"cnt","1089","27"
"cnt","1089","13"
"cnt","1089","14"
"cnt","1089","11"
"cnt","1089","6"
"obj","1089","1088"
"cnt","1090","27"
"cnt","1090","13"
"cnt","1090","14"
"cnt","1090","26"
"cnt","1090","11"
"cnt","1090","6"
"cnt","1091","6"
"cnt","1091","11"
"cnt","1091","13"
"cnt","1091","27"
"cnt","1092","6"
"cnt","1092","11"
"cnt","1092","13"
"cnt","1092","27"
"cnt","1093","13"
"cnt","1093","14"
"cnt","1093","11"
"cnt","1093","6"
"obj","1094","557"
"obj","1094","509"
"obj","1094","602"
"obj","1094","649"
"obj","1094","486"
"cnt","1095","6"
"cnt","1095","11"
"cnt","1095","14"
"cnt","1095","13"
"cnt","1096","27"
"cnt","1096","13"
"cnt","1096","14"
"cnt","1096","11"
"cnt","1096","6"
"cnt","1097","27"
"cnt","1097","13"
"cnt","1097","14"
"cnt","1097","26"
"cnt","1097","11"
"cnt","1097","12"
"cnt","1097","6"
"cnt","1098","27"
"cnt","1098","13"
"cnt","1098","14"
"cnt","1098","26"
"cnt","1098","11"
"cnt","1098","12"
"cnt","1098","6"
"cnt","1099","27"
"cnt","1099","13"
"cnt","1099","14"
"cnt","1099","26"
"cnt","1099","11"
"cnt","1099","12"
"cnt","1099","6"
"cnt","1100","14"
"cnt","1100","26"
"cnt","1100","11"
"cnt","1100","12"
"cnt","1100","6"
"cnt","1100","13"
"cnt","1100","27"
"cnt","1158","6"
"cnt","1143","13"
"cnt","1143","14"
"cnt","1143","11"
"cnt","1143","6"
"cnt","1144","13"
"cnt","1144","14"
"cnt","1144","11"
"cnt","1144","6"
"cnt","1150","6"
"cnt","1150","11"
"cnt","1150","13"
"cnt","1153","6"
"cnt","1159","6"
"cnt","1160","6"
"cnt","1161","6"
"cnt","1162","6"
"cnt","1163","6"
"cnt","1084","14"
"cnt","1164","6"
"cnt","1164","11"
"cnt","1164","14"
"cnt","1164","13"
"cnt","1164","27"
"obj","1164","50"
"obj","1164","462"
"obj","1164","1086"
"cnt","1166","27"
"cnt","1166","13"
"cnt","1166","14"
"cnt","1166","11"
"cnt","1166","6"
"obj","1166","599"
"obj","1166","29"
"obj","1166","111"
"cnt","1167","13"
"cnt","1167","14"
"cnt","1167","11"
"cnt","1167","6"
"obj","1167","1088"
"cnt","1167","27"
"cnt","1168","6"
"cnt","1168","11"
"cnt","1168","14"
"cnt","1168","13"
"cnt","1168","27"
"obj","1169","1164"
"cnt","1084","13"
"obj","1169","50"
"obj","1169","462"
"obj","1169","1086"
"cnt","1169","6"
"cnt","1169","11"
"cnt","1169","14"
"cnt","1169","13"
"cnt","1169","27"
"cnt","1170","13"
"cnt","1170","14"
"cnt","1170","11"
"cnt","1170","6"
"cnt","1171","13"
"cnt","1171","27"
"obj","1171","189"
"obj","1171","928"
"obj","1171","926"
"cnt","1172","6"
"cnt","1172","11"
"cnt","1172","13"
"cnt","1172","27"
"cnt","1173","27"
"cnt","1173","13"
"cnt","1173","14"
"cnt","1173","11"
"cnt","1173","6"
"cnt","1174","6"
"cnt","1174","11"
"cnt","1174","14"
"cnt","1174","13"
"cnt","1174","27"
"cnt","1175","6"
"cnt","1175","11"
"cnt","1175","14"
"cnt","1175","13"
"cnt","1175","27"
"cnt","1177","27"
"cnt","1177","13"
"cnt","1177","14"
"cnt","1177","11"
"cnt","1177","6"
"cnt","1178","6"
"cnt","1178","11"
"cnt","1178","14"
"cnt","1178","13"
"cnt","1178","27"
"cnt","1179","27"
"cnt","1179","13"
"cnt","1179","14"
"cnt","1179","11"
"cnt","1179","6"
"cnt","1180","27"
"cnt","1180","13"
"cnt","1180","14"
"cnt","1180","11"
"cnt","1180","6"
"cnt","1181","27"
"cnt","1181","13"
"cnt","1181","14"
"cnt","1181","11"
"cnt","1181","6"
"cnt","1183","27"
